                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                    nan,                    nan,                    nan,                0.71876,                0.63333,                0.61255,                 0.4581,                    nan,                    nan,                    nan,                      0,                      0,                      0
                      2,                    nan,                    nan,                    nan,                0.72052,                0.63323,                0.61199,                0.45792,                    nan,                    nan,                    nan,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                    nan,                    nan,                    nan,                0.73109,                0.63264,                0.60479,                0.45728,                    nan,                    nan,                    nan,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                    nan,                    nan,                    nan,                0.73451,                0.63333,                0.61094,                0.44156,                    nan,                    nan,                    nan,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                    nan,                    nan,                    nan,                0.65177,                0.63333,                 0.6105,                0.45701,                    nan,                    nan,                    nan,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                    nan,                    nan,                    nan,                0.65967,                   0.65,                0.61537,                0.45536,                    nan,                    nan,                    nan,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                    nan,                    nan,                    nan,                0.67226,                0.63579,                0.62121,                0.45745,                    nan,                    nan,                    nan,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                    nan,                    nan,                    nan,                0.68997,                0.62967,                 0.6257,                0.45604,                    nan,                    nan,                    nan,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                    nan,                    nan,                    nan,                0.68378,                0.64392,                0.61667,                0.45293,                    nan,                    nan,                    nan,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                    nan,                    nan,                    nan,                0.68729,                0.64481,                0.60012,                 0.4508,                    nan,                    nan,                    nan,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                    nan,                    nan,                    nan,                0.69755,                0.63716,                0.65398,                0.47938,                    nan,                    nan,                    nan,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                    nan,                    nan,                    nan,                0.69873,                0.63641,                0.64624,                0.47469,                    nan,                    nan,                    nan,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                    nan,                    nan,                    nan,                0.73881,                0.61631,                0.64347,                 0.4718,                    nan,                    nan,                    nan,             1.2584e-05,             1.2584e-05,             1.2584e-05
                     14,                    nan,                    nan,                    nan,                0.73567,                  0.621,                0.64306,                 0.4711,                    nan,                    nan,                    nan,             1.3479e-05,             1.3479e-05,             1.3479e-05
                     15,                    nan,                    nan,                    nan,                0.74192,                0.62699,                0.64105,                0.46845,                    nan,                    nan,                    nan,             1.4351e-05,             1.4351e-05,             1.4351e-05
                     16,                    nan,                    nan,                    nan,                0.73941,                0.63223,                0.64003,                0.47054,                    nan,                    nan,                    nan,             1.5199e-05,             1.5199e-05,             1.5199e-05
                     17,                    nan,                    nan,                    nan,                0.75197,                0.63526,                0.63272,                0.46364,                    nan,                    nan,                    nan,             1.6024e-05,             1.6024e-05,             1.6024e-05
                     18,                    nan,                    nan,                    nan,                0.75197,                0.63526,                0.63272,                0.46364,                    nan,                    nan,                    nan,             1.6825e-05,             1.6825e-05,             1.6825e-05
                     19,                    nan,                    nan,                    nan,                0.72842,                   0.65,                0.63185,                0.45544,                    nan,                    nan,                    nan,             1.7603e-05,             1.7603e-05,             1.7603e-05
                     20,                    nan,                    nan,                    nan,                0.72842,                   0.65,                0.63185,                0.45544,                    nan,                    nan,                    nan,             1.8357e-05,             1.8357e-05,             1.8357e-05
                     21,                    nan,                    nan,                    nan,                0.65916,                   0.65,                0.63151,                0.45502,                    nan,                    nan,                    nan,             1.9088e-05,             1.9088e-05,             1.9088e-05
                     22,                    nan,                    nan,                    nan,                0.65916,                   0.65,                0.63151,                0.45502,                    nan,                    nan,                    nan,             1.9795e-05,             1.9795e-05,             1.9795e-05
                     23,                    nan,                    nan,                    nan,                0.64294,                   0.65,                0.63187,                0.45549,                    nan,                    nan,                    nan,             2.0478e-05,             2.0478e-05,             2.0478e-05
                     24,                    nan,                    nan,                    nan,                0.64294,                   0.65,                0.63187,                0.45549,                    nan,                    nan,                    nan,             2.1138e-05,             2.1138e-05,             2.1138e-05
                     25,                    nan,                    nan,                    nan,                0.64457,                0.65296,                0.63049,                0.45528,                    nan,                    nan,                    nan,             2.1774e-05,             2.1774e-05,             2.1774e-05
                     26,                    nan,                    nan,                    nan,                0.64457,                0.65296,                0.63049,                0.45528,                    nan,                    nan,                    nan,             2.2387e-05,             2.2387e-05,             2.2387e-05
                     27,                    nan,                    nan,                    nan,                0.62489,                0.65782,                0.63028,                0.45504,                    nan,                    nan,                    nan,             2.2976e-05,             2.2976e-05,             2.2976e-05
                     28,                    nan,                    nan,                    nan,                0.62489,                0.65782,                0.63028,                0.45504,                    nan,                    nan,                    nan,             2.3542e-05,             2.3542e-05,             2.3542e-05
                     29,                    nan,                    nan,                    nan,                0.59815,                0.66667,                 0.6309,                0.43758,                    nan,                    nan,                    nan,             2.4084e-05,             2.4084e-05,             2.4084e-05
                     30,                    nan,                    nan,                    nan,                0.59815,                0.66667,                 0.6309,                0.43758,                    nan,                    nan,                    nan,             2.4602e-05,             2.4602e-05,             2.4602e-05
                     31,                    nan,                    nan,                    nan,                0.79524,                0.54943,                0.63111,                0.43724,                    nan,                    nan,                    nan,             2.5097e-05,             2.5097e-05,             2.5097e-05
                     32,                    nan,                    nan,                    nan,                0.79524,                0.54943,                0.63111,                0.43724,                    nan,                    nan,                    nan,             2.5568e-05,             2.5568e-05,             2.5568e-05
                     33,                    nan,                    nan,                    nan,                 0.7904,                0.54831,                 0.6297,                0.45253,                    nan,                    nan,                    nan,             2.6016e-05,             2.6016e-05,             2.6016e-05
                     34,                    nan,                    nan,                    nan,                 0.7904,                0.54831,                 0.6297,                0.45253,                    nan,                    nan,                    nan,              2.644e-05,              2.644e-05,              2.644e-05
                     35,                    nan,                    nan,                    nan,                0.78819,                0.54902,                0.62951,                0.44498,                    nan,                    nan,                    nan,             2.6841e-05,             2.6841e-05,             2.6841e-05
                     36,                    nan,                    nan,                    nan,                0.78819,                0.54902,                0.62951,                0.44498,                    nan,                    nan,                    nan,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                    nan,                    nan,                    nan,                 0.7882,                 0.5506,                0.62981,                0.44953,                    nan,                    nan,                    nan,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                    nan,                    nan,                    nan,                 0.7882,                 0.5506,                0.62981,                0.44953,                    nan,                    nan,                    nan,             2.7902e-05,             2.7902e-05,             2.7902e-05
